descriptor,sequence,geom_noise,ima,imb,ap,auc,sr
DOAP-HP-ST-LM-a,v_azzola,easy,0,3,0.988186518240279,0.988186426895769,0.9885
DOAP-HP-ST-LM-a,v_azzola,easy,0,4,0.560429122517664,0.560404988074791,0.6045
DOAP-HP-ST-LM-a,v_azzola,easy,0,5,0.297020799819003,0.29698355956416,0.3435
DOAP-HP-ST-LM-a,v_eastsouth,easy,0,1,0.974793120296876,0.974792747725263,0.975698663426488
DOAP-HP-ST-LM-a,v_eastsouth,easy,0,2,0.965719342652618,0.965718854928841,0.967193195625759
DOAP-HP-ST-LM-a,v_eastsouth,easy,0,3,0.776265632011561,0.776250560037014,0.809842041312272
DOAP-HP-ST-LM-a,v_eastsouth,easy,0,4,0.673196450906931,0.673164524668303,0.733292831105711
DOAP-HP-ST-LM-a,v_eastsouth,easy,0,5,0.249667195140731,0.249553132298303,0.388821385176185
DOAP-HP-ST-LM-a,v_yuri,easy,0,1,0.728530625485621,0.728510874130763,0.747545582047686
DOAP-HP-ST-LM-a,v_yuri,easy,0,2,0.987972987556891,0.987972243555165,0.988779803646564
DOAP-HP-ST-LM-a,v_yuri,easy,0,3,0.948264539448089,0.948258363270974,0.955119214586255
DOAP-HP-ST-LM-a,v_yuri,easy,0,4,0.957460838771584,0.957456477900381,0.962131837307153
DOAP-HP-ST-LM-a,v_yuri,easy,0,5,0.886828386087326,0.88681531589639,0.899018232819074
DOAP-HP-ST-LM-a,v_soldiers,easy,0,1,0.860372868804567,0.860367951190665,0.870588235294118
DOAP-HP-ST-LM-a,v_soldiers,easy,0,2,0.788443705850044,0.788435506032791,0.806535947712418
DOAP-HP-ST-LM-a,v_soldiers,easy,0,3,0.712734383938428,0.712722080983868,0.737254901960784
DOAP-HP-ST-LM-a,v_soldiers,easy,0,4,0.714286861650162,0.714272825195026,0.741830065359477
DOAP-HP-ST-LM-a,v_soldiers,easy,0,5,0.906397642395212,0.906394499744479,0.913071895424837
DOAP-HP-ST-LM-a,v_man,easy,0,1,0.751269424454982,0.751259001102591,0.773083886541943
DOAP-HP-ST-LM-a,v_man,easy,0,2,0.55294570273112,0.552914368720105,0.59867229933615
DOAP-HP-ST-LM-a,v_man,easy,0,3,0.576147380085857,0.576120468277092,0.623415811707906
DOAP-HP-ST-LM-a,v_man,easy,0,4,0.588591164656625,0.588562812559359,0.64091732045866
DOAP-HP-ST-LM-a,v_man,easy,0,5,0.654483439189071,0.654468843174295,0.682558841279421
DOAP-HP-ST-LM-a,v_pomegranate,easy,0,1,0.722806439089822,0.722797992986823,0.745363408521303
DOAP-HP-ST-LM-a,v_pomegranate,easy,0,2,0.720803127208196,0.720793661909142,0.742355889724311
DOAP-HP-ST-LM-a,v_pomegranate,easy,0,3,0.841528316892226,0.841525278287176,0.851127819548872
DOAP-HP-ST-LM-a,v_pomegranate,easy,0,4,0.732396471201106,0.732390896109648,0.747368421052632
DOAP-HP-ST-LM-a,v_pomegranate,easy,0,5,0.766012810500735,0.766008486932192,0.778947368421053
DOAP-HP-ST-LM-a,v_birdwoman,easy,0,1,0.257614822280762,0.257519745054319,0.4045
DOAP-HP-ST-LM-a,v_birdwoman,easy,0,2,0.564043616088692,0.564002618498723,0.6355
DOAP-HP-ST-LM-a,v_birdwoman,easy,0,3,0.730888325914036,0.730866972652748,0.78
DOAP-HP-ST-LM-a,v_birdwoman,easy,0,4,0.94816970837925,0.948166451355348,0.958
DOAP-HP-ST-LM-a,v_birdwoman,easy,0,5,0.849004655023016,0.848990094544719,0.8855
DOAP-HP-ST-LM-a,v_busstop,easy,0,1,0.985786386742461,0.985786331216249,0.986
DOAP-HP-ST-LM-a,v_busstop,easy,0,2,0.924155314606358,0.924154484155205,0.927
DOAP-HP-ST-LM-a,v_busstop,easy,0,3,0.972106797276596,0.972106542769955,0.973
DOAP-HP-ST-LM-a,v_busstop,easy,0,4,0.991157346815059,0.991155579738213,0.993
DOAP-HP-ST-LM-a,v_busstop,easy,0,5,0.99866123424253,0.99866111311707,0.999
DOAP-HP-ST-LM-a,i_ajuntament,hard,0,1,0.720747003433566,0.72059890485524,0.811254396248535
DOAP-HP-ST-LM-a,i_ajuntament,hard,0,2,0.311614458972364,0.311269984401895,0.459554513481829
DOAP-HP-ST-LM-a,i_ajuntament,hard,0,3,0.0982045793900017,0.0976808266397238,0.206330597889801
